uid,name,time,ip,result,type
,,,,,
,,,,,
,,,,,
,,,,,
a, ,20200404,127.0.0.1,1,Uid
a, ,20200404,127.0.0.1,1,Uid
a, ,20200414,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416 22:37:32,127.0.0.1,1,Face
a, ,20200416 22:42:35,127.0.0.1,1,Face
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416 22:45:33,127.0.0.1,1,Face
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416 22:52:12,127.0.0.1,1,Face
a, ,20200416,127.0.0.1,1,Uid
a, ,20200416,127.0.0.1,1,Uid
